Date,Open,High,Low,Close,Volume,OI
1975-04-30,100.0,100.0,100.0,100.0,163310,0
1975-05-02,99.96,99.96,99.96,99.96,150220,0
1975-05-06,99.53,99.53,99.53,99.53,260100,0
1975-05-07,99.13,99.13,99.13,99.13,35480,0
1975-05-08,97.88,97.88,97.88,97.88,52500,0
1975-05-09,96.64,96.64,96.64,96.64,157050,0
1975-05-12,95.37,95.37,95.37,95.37,16000,0
1975-05-13,92.55,92.55,92.55,92.55,62000,0
1975-05-14,92.11,92.11,92.11,92.11,581260,0
1975-05-15,90.32,90.32,90.32,90.32,42120,0
1975-05-16,89.45,89.45,89.45,89.45,78720,0
1975-05-19,87.11,87.11,87.11,87.11,31420,0
1975-05-20,85.73,85.73,85.73,85.73,146370,0
1975-05-21,85.73,85.73,85.73,85.73,161900,0
1975-05-22,90.94,90.94,90.94,90.94,181000,0
1975-05-23,91.91,91.91,91.91,91.91,167000,0
1975-05-26,90.69,90.69,90.69,90.69,123720,0
1975-05-27,88.89,88.89,88.89,88.89,631000,0
1975-05-28,89.57,89.57,89.57,89.57,38570,0
1975-05-29,89.98,89.98,89.98,89.98,126080,0
1975-05-30,89.98,89.98,89.98,89.98,52000,0
1975-06-02,89.53,89.53,89.53,89.53,27260,0
1975-06-03,89.53,89.53,89.53,89.53,22000,0
1975-06-04,89.42,89.42,89.42,89.42,18610,0
1975-06-05,89.56,89.56,89.56,89.56,56890,0
1975-06-06,89.55,89.55,89.55,89.55,59500,0
1975-06-09,89.54,89.54,89.54,89.54,47900,0
1975-06-10,89.54,89.54,89.54,89.54,23000,0
1975-06-11,89.99,89.99,89.99,89.99,37170,0
1975-06-12,90.03,90.03,90.03,90.03,81000,0
1975-06-13,90.19,90.19,90.19,90.19,61550,0
1975-06-16,90.61,90.61,90.61,90.61,43000,0
1975-06-17,90.91,90.91,90.91,90.91,29350,0
1975-06-18,90.79,90.79,90.79,90.79,514850,0
1975-06-19,90.79,90.79,90.79,90.79,41580,0
1975-06-20,90.71,90.71,90.71,90.71,175300,0
1975-06-23,90.89,90.89,90.89,90.89,97320,0
1975-06-24,90.96,90.96,90.96,90.96,35000,0
1975-06-25,91.38,91.38,91.38,91.38,82500,0
1975-06-26,91.12,91.12,91.12,91.12,207500,0
1975-06-27,91.27,91.27,91.27,91.27,69660,0
1975-06-30,91.64,91.64,91.64,91.64,73790,0
1975-07-02,91.9,91.9,91.9,91.9,64330,0
1975-07-03,92.67,92.67,92.67,92.67,261040,0
1975-07-04,93.93,93.93,93.93,93.93,94200,0
1975-07-07,95.18,95.18,95.18,95.18,210390,0
1975-07-08,94.87,94.87,94.87,94.87,123910,0
1975-07-09,95.49,95.49,95.49,95.49,60980,0
1975-07-10,96.43,96.43,96.43,96.43,574080,0
1975-07-11,98.04,98.04,98.04,98.04,435050,0
1975-07-14,99.53,99.53,99.53,99.53,570210,0
1975-07-15,99.98,99.98,99.98,99.98,1545930,0
1975-07-16,99.43,99.43,99.43,99.43,177080,0
1975-07-17,99.77,99.77,99.77,99.77,133630,0
1975-07-18,99.72,99.72,99.72,99.72,376040,0
1975-07-21,100.02,100.02,100.02,100.02,319360,0
1975-07-22,99.71,99.71,99.71,99.71,285130,0
1975-07-23,100.11,100.11,100.11,100.11,137630,0
1975-07-25,100.02,100.02,100.02,100.02,511020,0
1975-07-28,99.65,99.65,99.65,99.65,181760,0
1975-07-29,97.9,97.9,97.9,97.9,213830,0
1975-07-30,97.09,97.09,97.09,97.09,113000,0
1975-07-31,98.02,98.02,98.02,98.02,570810,0
1975-08-01,100.0,100.0,100.0,100.0,705760,0
1975-08-04,99.9,99.9,99.9,99.9,649960,0
1975-08-05,99.76,99.76,99.76,99.76,533640,0
1975-08-06,98.14,98.14,98.14,98.14,592470,0
1975-08-07,98.54,98.54,98.54,98.54,104960,0
1975-08-08,98.43,98.43,98.43,98.43,196300,0
1975-08-11,98.67,98.67,98.67,98.67,102800,0
1975-08-13,98.64,98.64,98.64,98.64,233540,0
1975-08-14,98.52,98.52,98.52,98.52,170000,0
1975-08-15,99.06,99.06,99.06,99.06,1049130,0
1975-08-18,98.96,98.96,98.96,98.96,111170,0
1975-08-19,99.67,99.67,99.67,99.67,85690,0
